id,show_id,date,doors,show_start,show_finish,general_admission_price,general_admission_face_value,concession_admission_face_price,concession_admission_face_value,venue_name,venue_address,venue_website,venue_phone,additonal_information,age_restrictions
1,gotd,"Sat 12 Mar",18:00:00,18:30:00,19:45:00,5.5,5,3.3,3,"DRAM!, Glasgow","232-246 Woodlands Road, Glasgow, G3 6ND",https://www.facebook.com/dramglasgow/,"0141 332 1622",,"This event is for over 18s only - No refunds will be issued for under 18s."
2,gotd,"Sat 19 Mar",,19:00:00,,15.5,15,13,13.3,"The Iron Horse, Glasgow","115 West Nile Street, Glasgow, G1 2SB",,"0141 332 2215","Part of British Science Week.","This event is for over 18s only - No refunds will be issued for under 18s."
